GAME_ID,TEAM_1,TEAM_2,TEAM_1_STRATEGY,TEAM_2_STRATEGY,TEAM_1_PTS,TEAM_2_PTS,WINNER
12300001,MIN,DAL,3,3,111,99,MIN
12300002,DAL,MIN,3,4,96,104,MIN
12300003,LAL,GSW,3,3,108,125,GSW
12300004,CHI,MIL,3,4,102,105,MIL
12300006,BOS,PHI,2,1,114,106,BOS
12300007,MEM,IND,3,3,127,122,MEM
12300008,SAC,TOR,0,3,99,112,TOR
12300009,UTA,LAC,2,1,101,96,UTA
12300010,NYK,BOS,2,2,114,107,NYK
12300011,OKC,SAS,3,3,122,121,OKC
12300015,ATL,CLE,3,0,108,107,ATL
12300017,HOU,IND,1,3,122,103,HOU
12300018,MIL,MEM,3,3,102,108,MEM
12300019,ORL,NOP,3,3,122,105,ORL
12300020,UTA,LAC,3,1,98,103,LAC
12300023,BOS,PHI,2,0,112,101,BOS
12300024,SAC,LAL,0,3,101,109,LAL
12300026,ORL,CLE,3,0,108,105,ORL
12300027,OKC,DET,2,2,125,128,DET
12300028,MEM,ATL,0,3,102,103,ATL
12300030,DEN,CHI,3,3,124,133,CHI
12300031,NOP,HOU,0,0,87,120,HOU
12300033,MIA,SAS,2,0,104,120,SAS
12300034,LAL,GSW,3,3,125,129,GSW
12300035,NOP,ATL,0,3,105,110,ATL
12300036,NYK,MIN,2,0,112,121,MIN
12300037,POR,UTA,3,3,133,138,UTA
12300039,MEM,MIA,2,1,124,132,MIA
12300041,MIL,LAL,3,3,108,97,MIL
12300042,CHI,DEN,1,2,102,116,DEN
12300043,SAC,GSW,0,1,115,121,GSW
12300044,ATL,IND,1,0,112,116,IND
12300047,SAS,HOU,3,3,89,99,HOU
12300050,NOP,ORL,4,0,104,92,NOP
12300051,BOS,NYK,2,0,123,110,BOS
12300052,CHI,TOR,4,1,102,106,TOR
12300053,MIL,OKC,0,3,101,124,OKC
12300055,LAC,DEN,4,1,116,103,LAC
12300057,WAS,NYK,2,2,131,106,WAS
12300058,HOU,SAS,3,3,103,117,SAS
12300059,GSW,SAC,3,3,116,115,GSW
12300061,MIN,CHI,0,0,114,105,MIN
12300062,DET,OKC,3,3,118,116,DET
12300064,DEN,LAC,4,1,103,90,DEN
12300065,SAC,UTA,0,3,116,113,SAC
12300066,IND,CLE,3,3,109,104,IND
12300068,PHI,ATL,0,0,120,106,PHI
12300069,WAS,TOR,3,3,98,134,TOR
12300070,DAL,DET,0,4,114,104,DAL
12300071,MIA,HOU,3,1,104,110,HOU
12300072,MEM,MIL,3,0,116,124,MIL
12300073,SAS,GSW,3,0,122,117,SAS
22300001,IND,CLE,3,1,121,116,IND
22300002,NYK,MIL,2,2,105,110,MIL
